,artistId,name,relatedArtists,followers,popularity,genres,indegreeCentrality,eigenCentrality,betweenCentrality,closenessCentrality,pageRank
108,5ZJVKcOJZ2liLXcMD8G4fG,Mazyar Fallahi,"['7kyv6pxakvg25qRWqq9vj7', '21bYSNzWliPW8JOHPMzx7X', '3Glr2udz0D2reg29xp4Zta', '0iMvs2xig8hcY8LdFCSHKZ', '3W7mWUVC6aDPAQX7yRFdz5']",5474,30,['persian pop'],6,3.28330469025e-08,0.1683195844071404,0.10615577889447235,0.0019558804367175242
109,3Glr2udz0D2reg29xp4Zta,Mehdi Yarrahi,"['5ZJVKcOJZ2liLXcMD8G4fG', '5EvLD8ZqQKUQVTORi5z8tm', '1kvuyOm5YCLM6VqzXUR1wP', '7kyv6pxakvg25qRWqq9vj7', '7LVIM96INQRse5bdloKlzM']",1921,21,['persian pop'],2,6.84188128545e-09,0.029796664931343666,0.09363817556388374,0.0010785725452875628
110,7kyv6pxakvg25qRWqq9vj7,Morteza Pashaei,"['5ZJVKcOJZ2liLXcMD8G4fG', '0mHI0Oi13X1Qi5ubUxYeUe', '0iMvs2xig8hcY8LdFCSHKZ', '1HxhTTLPJlj5uiYSdjVgGU', '05xOq3llEmAYBHDUsgHpi2']",14231,40,['persian pop'],3,9.25067802273e-09,0.11372847665675435,0.09370992895512043,0.00121616168915908
111,2Y2gsVQ9NzlSlQdCgnQ6ug,Shahrokh,"['0EffwahbVorwsGoVtfovXM', '3Tf5EjUPHi04W0filXAkrG', '5coMLgB6HtAg6rf9QVPLPa', '69bVyzCRQweGwImywypLRD', '59N9f8b5zCYSCyov5lxBhm']",1418,19,['classic persian pop'],11,0.401166824663,0.006000339708198836,0.15638293770643497,0.024405663978648413
112,1km564YyHWr7156Imwfbp9,Sirvan Khosravi,"['3IDPcBP4OoTNvm3b4h46cW', '2IYl0pVatTl6O2d1CQj6GQ', '72482nIO3fujPgLNJQWuCy', '00J3XSB6tD4SGSFflGseDx', '1tOtb40DeTYQJZPe11zSVx']",12114,35,['persian pop'],0,7.418476698e-19,0.0,0.0,0.0005140468236726006
113,22ZtqI4yLm6eyx606HmbtE,Xaniar,"['0iMvs2xig8hcY8LdFCSHKZ', '4tXhsMzLWZ1WL952nYBPTL', '0RN2n6EdV90CQmfhfxqv0f', '05xOq3llEmAYBHDUsgHpi2', '21bYSNzWliPW8JOHPMzx7X']",3919,16,['persian pop'],3,1.03611893908e-09,0.08234068885192367,0.09667308876397798,0.0020786605429249936
114,26HwS0IKEmqlwyIuv0LbXs,Shohreh,"['0EffwahbVorwsGoVtfovXM', '2qNu2Ys8ePDMvKwixWNdbS', '3Tf5EjUPHi04W0filXAkrG', '5coMLgB6HtAg6rf9QVPLPa', '5DKMxoSsZBKkZG22hJHbfq']",4637,29,"['classic persian pop', 'persian pop']",0,-5.77415039717e-19,0.0,0.0,0.0005140468236726006
115,1doxtFN19fZFut0UYCuf8c,Mehdi Jahani,"['0Ivc48Y30tpafzyoi2U4OJ', '3ik1ITmfyz6tnIgodqEHlz', '0RijxlHRlHCt8hYWPclQRJ', '10q6ToQDyMq4fIckvuwXEO', '5soNWYxH02JzesP081GwEl']",2306,34,['persian pop'],0,-8.8040124533e-19,0.0,0.0,0.0005140468236726006
116,6OiXjQsfAJDqoukTEEtRFk,Kako Band,"['5BmZFKfOtJ5uhZd4FZFA2U', '5GZNz7JdrJ5HgyKq44iDG1', '3juum1Huev3gBqWuTfHzML', '3lDvSMuYmhBK4KhJ9Bryak', '1IlwO4YlID1tcb5QgWOiQu']",2097,19,[],0,2.4314705697e-19,0.0,0.0,0.0005140468236726006
117,5tJdqzQYWhaBSWzGVhqGUX,Alireza Ghorbani,"['5Uj3HYkiz1cn32IPHMqhOy', '3meYUCHyh5OayViOog5daw', '45EXJ1cQAEt8k2zIYHyLBm', '129o0b0q8hAgjrd7jDrbhP', '2NzB7sjEg2k46XhFXeYi2v']",7509,26,"['classic persian pop', 'persian traditional']",1,1.4707512385e-11,0.0002342309189042857,0.07236180904522613,0.0022899797303886247
118,27dwAgbXmxxoow8Mpn7aQz,Salar Aghili,"['0FYkbjit3zaFIN4kvVUdGW', '5Uj3HYkiz1cn32IPHMqhOy', '3meYUCHyh5OayViOog5daw', '45EXJ1cQAEt8k2zIYHyLBm', '5C43FNPZAzBXLGWgkYWbs1']",6063,27,"['classic persian pop', 'persian traditional']",3,1.58304245612e-11,0.028439233350039606,0.07249049038911212,0.0026614067608985627
119,45EXJ1cQAEt8k2zIYHyLBm,Mohammadreza Shajarian,"['3meYUCHyh5OayViOog5daw', '5Uj3HYkiz1cn32IPHMqhOy', '129o0b0q8hAgjrd7jDrbhP', '4eVyI1yiHoRjVrxt5y7gGL', '1xA7r3Y1UGCp3rQMkgFXz4']",4835,27,"['classic persian pop', 'persian traditional']",6,5.19166501592e-11,0.026755717688657782,0.0775961023391067,0.006827118277261083
120,159EfTbAauNiYWo4L0n30z,Kamyr,"['0iMvs2xig8hcY8LdFCSHKZ', '0DymMFBnzHFnWU0kosXtsQ', '0T1TzS3WjueMtv79puFaqr', '6a3oGQA11oMCKPqYRcG7Nq', '72482nIO3fujPgLNJQWuCy']",1484,22,['persian pop'],1,1.54600720512e-10,0.0005221490774254593,0.08246220990319093,0.0007874942058602428
121,6CwqlS95wmmB4ZWgCtdzUi,Farzad Farzin,"['1tOtb40DeTYQJZPe11zSVx', '0T1TzS3WjueMtv79puFaqr', '0EffwahbVorwsGoVtfovXM', '00J3XSB6tD4SGSFflGseDx', '3IDPcBP4OoTNvm3b4h46cW']",7316,36,['persian pop'],1,7.52434561503e-08,0.018599707195874306,0.10407783598845288,0.0012964022442188048
122,59N9f8b5zCYSCyov5lxBhm,Homeyra,"['3Tf5EjUPHi04W0filXAkrG', '0EffwahbVorwsGoVtfovXM', '69bVyzCRQweGwImywypLRD', '2Y2gsVQ9NzlSlQdCgnQ6ug', '5akOgE7THgqgmt4fAxQkre']",4489,24,['classic persian pop'],2,0.171818243682,0.0008777482172123365,0.1519148537719654,0.010469833729274793
123,1QbuQZVIsvz343sEqTPKot,Abdolvahab Shahidi,"['5JzWJLctBqdLXO96YxXvT9', '1grC023GSmH0FTqX3Pwxgw', '7IHTK9lmwhFuuJ2ditvlQr', '7DCmQW885aZQY5fhN1C2PD', '78j1lyp6JO4xzjQzsjKji6']",330,3,['classic persian pop'],1,6.1474535045e-07,0.0,0.056071277985525976,0.0007597863751112024
124,00J3XSB6tD4SGSFflGseDx,Reza Sadeghi,"['2IYl0pVatTl6O2d1CQj6GQ', '1tOtb40DeTYQJZPe11zSVx', '2jvB5M73tBZlWybPmxIaw7', '3IDPcBP4OoTNvm3b4h46cW', '72482nIO3fujPgLNJQWuCy']",10455,35,['persian pop'],8,2.47679958904e-06,0.007284074614636438,0.155785295906283,0.011267885530486911
125,2mGkJsyXC8byI83UHSO4w1,Sogand,"['5y33cZ1Lo1YVUjraV880Lb', '4uGBJ4gqsK7NAUb3DKTL7Q', '2SFwcduI9cdZsG6UxnBm3C', '7mGDv3CYlPghTIWzE6tOpv', '0jCVTRvQkILbJvpviTpvd1']",7815,30,"['persian alternative', 'persian hip hop']",0,3.02304238885e-19,0.0,0.0,0.0005140468236726006
