,artistId,name,relatedArtists,followers,popularity,genres
74,0RN2n6EdV90CQmfhfxqv0f,Tm bax,"['05xOq3llEmAYBHDUsgHpi2', '22ZtqI4yLm6eyx606HmbtE', '4tXhsMzLWZ1WL952nYBPTL', '72482nIO3fujPgLNJQWuCy', '0iMvs2xig8hcY8LdFCSHKZ']",6731,36,"['classic persian pop', 'persian pop']"
75,4tXhsMzLWZ1WL952nYBPTL,Zedbazi,"['2X90kCLyxyPeJ5nynJGbvT', '0RN2n6EdV90CQmfhfxqv0f', '22ZtqI4yLm6eyx606HmbtE', '0tctijgZruddzQ8FCgvDj2', '1W5u8Bz2yimyuuI8QNYsNO']",15982,32,"['classic persian pop', 'persian alternative', 'persian hip hop', 'persian pop']"
76,22ZtqI4yLm6eyx606HmbtE,Xaniar,"['0iMvs2xig8hcY8LdFCSHKZ', '4tXhsMzLWZ1WL952nYBPTL', '0RN2n6EdV90CQmfhfxqv0f', '05xOq3llEmAYBHDUsgHpi2', '21bYSNzWliPW8JOHPMzx7X']",3727,14,['persian pop']
77,05xOq3llEmAYBHDUsgHpi2,Sami Beigi,"['0RN2n6EdV90CQmfhfxqv0f', '0iMvs2xig8hcY8LdFCSHKZ', '22ZtqI4yLm6eyx606HmbtE', '1HxhTTLPJlj5uiYSdjVgGU', '0DymMFBnzHFnWU0kosXtsQ']",11151,36,['persian pop']
78,1tOtb40DeTYQJZPe11zSVx,Hamid Askari,"['00J3XSB6tD4SGSFflGseDx', '0T1TzS3WjueMtv79puFaqr', '72482nIO3fujPgLNJQWuCy', '2IYl0pVatTl6O2d1CQj6GQ', '3IDPcBP4OoTNvm3b4h46cW']",4815,26,"['classic persian pop', 'persian pop']"
79,5dOnuILcq3uFLKaBMIFokr,Farhad Mehrad,"['1xA7r3Y1UGCp3rQMkgFXz4', '2jvB5M73tBZlWybPmxIaw7', '0cuFX3PhgtIqQDKPLCL854', '47w4VyWVolZiXYnFt0wqr9', '1qJBncZ8HMjYqOtM8H6zfJ']",4285,12,"['classic persian pop', 'persian alternative']"
80,1yPzb9mqugowOfUs2vIOgL,Erfan,"['1PgsdK1Ll4oK28g6KLPOg1', '2B4DnBz9uzJN5nPgLEHCt7', '5y33cZ1Lo1YVUjraV880Lb', '3tecdksDTajgP8xxkuDgyJ', '5vVveQB8n4kETe67waTS3t']",6818,30,['persian hip hop']
81,0L2xFm9NOT8alkoXmVl8BL,Abbas Ghaderi,"['0uCPk7Qaa7trIUAo0MarQa', '1Sz090MImPxme9m9F5zM6x', '5TJxWW696uXFzZYpp9b6nk', '4CXwPHzJ8f5TxtyrsjbwLl', '6FwyjZoydsivQ2ge94HmLP']",1039,18,['classic persian pop']
82,6FwyjZoydsivQ2ge94HmLP,Siavash,"['3Tf5EjUPHi04W0filXAkrG', '4CXwPHzJ8f5TxtyrsjbwLl', '0EffwahbVorwsGoVtfovXM', '2qNu2Ys8ePDMvKwixWNdbS', '69bVyzCRQweGwImywypLRD']",3312,22,['classic persian pop']
83,6vErKE6TNXsUsVuVre8JW3,Koroush Yaghmaee,"['2jvB5M73tBZlWybPmxIaw7', '0cuFX3PhgtIqQDKPLCL854', '5b1CDxqOGnXr5M1DUn2XQh', '6hKJvRsiSIyjIBv9usxkhh', '7f8OibY3PULjl3LFgONPXC']",35,0,['classic persian pop']
84,2mGkJsyXC8byI83UHSO4w1,Sogand,"['5y33cZ1Lo1YVUjraV880Lb', '2SFwcduI9cdZsG6UxnBm3C', '4uGBJ4gqsK7NAUb3DKTL7Q', '7mGDv3CYlPghTIWzE6tOpv', '0jCVTRvQkILbJvpviTpvd1']",7304,26,"['persian alternative', 'persian hip hop']"
85,5y33cZ1Lo1YVUjraV880Lb,Bozorg,"['4uGBJ4gqsK7NAUb3DKTL7Q', '2SFwcduI9cdZsG6UxnBm3C', '7mGDv3CYlPghTIWzE6tOpv', '0jCVTRvQkILbJvpviTpvd1', '0u4qrFczDmAsJesHPgbnru']",3255,21,['persian hip hop']
86,4uGBJ4gqsK7NAUb3DKTL7Q,Wantons,"['5y33cZ1Lo1YVUjraV880Lb', '2SFwcduI9cdZsG6UxnBm3C', '7mGDv3CYlPghTIWzE6tOpv', '0jCVTRvQkILbJvpviTpvd1', '0u4qrFczDmAsJesHPgbnru']",2782,17,['persian hip hop']
87,0tctijgZruddzQ8FCgvDj2,Reza Yazdani,"['6V6v6VpsjWE28oeoAnqPhg', '1W5u8Bz2yimyuuI8QNYsNO', '5F3JQSbuDo4pWGLC2UTLTI', '4tXhsMzLWZ1WL952nYBPTL', '4eVyI1yiHoRjVrxt5y7gGL']",4426,19,['classic persian pop']
88,7MYldHzLrKMxUl7AcNTmHO,Giti,"['7DCmQW885aZQY5fhN1C2PD', '05owR1ds02eaZgCrtfATRF', '5TJxWW696uXFzZYpp9b6nk', '6XJ5KXl0DaiBPd5xH5x7i5', '3Tf5EjUPHi04W0filXAkrG']",654,11,['classic persian pop']
89,5TJxWW696uXFzZYpp9b6nk,Farzin,"['69bVyzCRQweGwImywypLRD', '5akOgE7THgqgmt4fAxQkre', '2HGF8MZq8nygoAlDB3BhCP', '2Y2gsVQ9NzlSlQdCgnQ6ug', '5dXcd9n6xLT4yIgnmevz37']",1233,15,['classic persian pop']
90,2X90kCLyxyPeJ5nynJGbvT,Hichkas,"['4tXhsMzLWZ1WL952nYBPTL', '0u4qrFczDmAsJesHPgbnru', '0tctijgZruddzQ8FCgvDj2', '7AJU2n7M6XW5j1fdqTdZgI', '1W5u8Bz2yimyuuI8QNYsNO']",11814,26,"['classic persian pop', 'conscious hip hop', 'persian hip hop']"
91,0u4qrFczDmAsJesHPgbnru,Reza Pishro,"['7mGDv3CYlPghTIWzE6tOpv', '2SFwcduI9cdZsG6UxnBm3C', '5y33cZ1Lo1YVUjraV880Lb', '4uGBJ4gqsK7NAUb3DKTL7Q', '3QNGoF6VzVNnkpjJDT3NHq']",4787,21,['persian hip hop']
